血	blood
角	角	horn
吸盤	suckers
墨袋	ink sacs
甲羅	carapace
臭腺	scent gland
発光器官	Luminescent organs
脂肪	blubber
顎	chin	fangs, chin, lips
牙	fangs	jaw
顎	chin	jaw
唇	lips	jaw
眼球	eyeball	retina, lens
網膜	retina	eyeball
水晶体	lens	eyeball
口吻	proboscis
体毛	fur
外骨格	exoskeleton	x2
節足	Arthropod Legs
触角	antenna
鉤爪	claws
複眼	compound eyes
鰓	gills
副脳	auxiliary brain
瘤	bump
血管	blood vessel
舌	tongue
肺	lung
鰭	fin
毒腺	Venom glands
骨	bone
皮膚	skin
宝珠	jewel
神経	nerve
胃	stomach
皮膜	epidermis	"skin film"
羽	wing
触手	tentacle
影	shadow
鱗	scale	x2 (fish)
骨髄	bone marrow
卵管	fallopian tubes
絹糸腺	silk gland
筋肉	muscle
結晶	crystal
汗腺	sweat gland
刺胞	cnidocyte
粘液腺	mucus glands
気門	spiracle
蹴爪	grip talon	Hallux/kick claw
魔王の血	Demon King's Blood
魔王の角	Demon King's Horn
欠片	fragment
魔王の核	Demon King's Core	with Alda
魔王の生命	Demon King's Existence	with Alda
本能	Instinct
記憶	Memory
肉球	paw
皮脂腺	Sebaceous glands
魔王の鼻	Demon King's Nose
右腕	Right Arm
左腕	Left Arm
右親指	Right Thumb
左手首	Left Wrist
魔王の脳	Demon King's Brain
声帯	Vocal Cords
魔王の腕	Demon King's Arm
魔王の血管	Demon King's Blood Vessels
炎獄竜巻砲	Blazing Prison Dragon Cannon
魂の欠片	soul fragment
